id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
43123 Batch 32715.10 OmegaBatch-4 68 0.30 0.50 164.52 72.2361 152.6361 260.52 0.3300 1000 0 0 0
43124 Batch 32808.89 OmegaBatch-1 37 0.30 0.50 1.88 0.0000 0.0000 1.88 0.3526 1000 0 0 0
43125 Batch 32896.48 OmegaBatch-2 219 0.30 0.50 90.87 94.8728 94.8728 90.87 0.3109 1000 0 0 0
43126 Batch 32897.39 OmegaBatch-3 129 0.30 0.50 7.57 0.0000 24.2000 59.57 0.3109 1000 0 0 0
43127 Batch 32897.42 OmegaBatch-4 61 0.30 0.50 298.82 0.5138 0.5138 298.82 0.3109 1000 0 0 0
43128 Batch 32903.15 OmegaBatch-1 70 0.30 0.50 4.57 0.0000 0.0000 20.57 0.2859 1000 0 0 0
43129 Batch 32903.33 OmegaBatch-2 126 0.30 0.50 58.73 132.8225 280.2225 233.33 0.2859 1000 0 0 0
43130 Batch 32916.35 OmegaBatch-3 121 0.30 0.50 47.49 7.8429 7.8429 47.49 0.2905 1000 0 0 0
43131 Batch 32924.11 OmegaBatch-4 32 0.30 0.50 16.51 0.0000 0.0000 16.51 0.2905 1000 0 0 0
43132 Batch 32925.26 OmegaBatch-1 56 0.30 0.50 16.71 8.8905 8.8905 16.71 0.2905 1000 0 0 0
43133 Batch 32933.63 OmegaBatch-2 107 0.30 0.50 37.09 128.7202 128.7202 37.09 0.2848 1000 0 0 0
